date,total_value,cash,positions_value,scenario,trades_today
2025-11-03,100000.0,0.0,100000.0,base,7
2025-11-04,99170.19,0.0,99170.19,base,0
2025-11-05,99500.77,0.0,99500.77,base,0
2025-11-06,98986.23,0.0,98986.23,base,0
2025-11-07,99071.93,0.0,99071.93,base,7
2025-11-10,100299.44,100.3,100199.14,base,8
2025-11-11,100690.21,100.3,100589.91,base,0
2025-11-12,100981.39,100.3,100881.09,base,0
2025-11-13,99970.22,100.3,99869.92,base,0
2025-11-14,99742.11,99.74,99642.37,base,8
2025-11-17,99036.51,0.0,99036.51,base,9
2025-11-18,98844.69,0.0,98844.69,base,0
2025-11-19,98881.55,0.0,98881.55,base,0
2025-11-20,98064.76,0.0,98064.76,base,0
2025-11-21,98820.68,0.0,98820.68,base,8
2025-11-24,99641.48,0.0,99641.48,base,9
2025-11-25,100347.74,0.0,100347.74,base,0
2025-11-26,100789.73,0.0,100789.73,base,0
2025-11-28,101154.67,0.0,101154.67,base,9
2025-12-01,100702.53,100.7,100601.83,base,10
2025-12-02,100609.26,100.7,100508.56,base,0
2025-12-03,100922.4,100.7,100821.7,base,0
2025-12-04,100814.35,100.7,100713.65,base,0
2025-12-05,100803.61,100.8,100702.8,base,10
2025-12-08,100412.08,0.0,100412.08,base,10
2025-12-09,100391.18,0.0,100391.18,base,0
2025-12-10,100952.86,0.0,100952.86,base,0
2025-12-11,101266.61,0.0,101266.61,base,0
2025-12-12,100843.09,0.0,100843.09,base,10
2025-12-15,100892.6,0.0,100892.6,base,6
2025-12-16,100433.6,0.0,100433.6,base,0
2025-12-17,100155.83,0.0,100155.83,base,0
2025-12-18,100319.92,0.0,100319.92,base,0
2025-12-19,100638.69,0.0,100638.69,base,6
2025-12-22,101036.72,0.0,101036.72,base,9
2025-12-23,101328.01,0.0,101328.01,base,0
2025-12-24,101549.25,0.0,101549.25,base,0
2025-12-26,101681.4,0.0,101681.4,base,8
2025-12-29,101108.21,0.0,101108.21,base,8
2025-12-30,101071.28,0.0,101071.28,base,0
2025-12-31,100556.83,0.0,100556.83,base,0
2026-01-02,100838.34,0.0,100838.34,base,8
2026-01-05,101502.75,0.0,101502.75,base,8
2026-01-06,102010.22,0.0,102010.22,base,0
2026-01-07,101750.76,0.0,101750.76,base,0
2026-01-08,102005.57,0.0,102005.57,base,0
2026-01-09,102415.85,0.0,102415.85,base,8
2026-01-12,102761.56,0.0,102761.56,base,8
2026-01-13,102750.61,0.0,102750.61,base,0
2026-01-14,102935.62,0.0,102935.62,base,0
2026-01-15,102894.06,0.0,102894.06,base,0
2026-01-16,102701.41,0.0,102701.41,base,8
2026-01-20,102282.37,0.0,102282.37,base,8
2026-01-21,103232.13,0.0,103232.13,base,0
2026-01-22,103657.07,0.0,103657.07,base,0
2026-01-23,103833.59,0.0,103833.59,base,8
2026-01-26,104236.14,0.0,104236.14,base,8
2026-01-27,104519.97,0.0,104519.97,base,0
2026-01-28,104785.92,0.0,104785.92,base,0
2026-01-29,104689.58,0.0,104689.58,base,0
2026-01-30,103703.86,0.0,103703.86,base,8
2026-02-02,103586.61,0.0,103586.61,base,8
2026-02-03,103908.01,0.0,103908.01,base,0
2026-02-04,104043.7,0.0,104043.7,base,0
2026-02-05,103190.24,0.0,103190.24,base,0
2026-02-06,104626.75,0.0,104626.75,base,8
2026-02-09,104895.09,0.0,104895.09,base,8
2026-02-10,104625.41,0.0,104625.41,base,0
2026-02-11,105085.28,0.0,105085.28,base,0
2026-02-12,104193.56,0.0,104193.56,base,0
2026-02-13,104622.74,0.0,104622.74,base,8
