date,symbol,side,shares,price,value,reason
2025-11-03,SPY,buy,41.12155,683.34,28100.0,rebalance
2025-11-03,QQQ,buy,21.516264,632.08,13600.0,rebalance
2025-11-03,DIA,buy,6.336199,473.47,3000.0,rebalance
2025-11-03,XLV,buy,58.15161,144.45,8400.0,rebalance
2025-11-03,GLD,buy,40.132328,368.78,14800.0,rebalance
2025-11-03,TLT,buy,71.317138,89.74,6400.0,rebalance
2025-11-03,BIL,buy,280.966435,91.47,25700.0,rebalance
2025-11-07,DIA,sell,0.010575,469.86,4.97,rebalance
2025-11-07,XLV,sell,1.205928,146.14,176.23,rebalance
2025-11-07,GLD,sell,0.321719,368.31,118.49,rebalance
2025-11-07,TLT,sell,0.527774,89.57,47.27,rebalance
2025-11-07,BIL,sell,2.790041,91.53,255.37,rebalance
2025-11-07,SPY,buy,0.369443,670.97,247.89,rebalance
2025-11-07,QQQ,buy,0.581322,609.74,354.46,rebalance
2025-11-10,XLV,sell,3.145736,147.28,463.3,rebalance
2025-11-10,GLD,sell,3.760278,378.38,1422.81,rebalance
2025-11-10,TLT,sell,25.987826,89.55,2327.21,rebalance
2025-11-10,BIL,sell,61.253514,91.55,5607.76,rebalance
2025-11-10,SPY,buy,1.782129,681.44,1214.41,rebalance
2025-11-10,QQQ,buy,3.973864,623.23,2476.63,rebalance
2025-11-10,DIA,buy,0.659901,473.82,312.67,rebalance
2025-11-10,XLE,buy,126.539802,45.18,5717.07,rebalance
2025-11-14,DIA,sell,0.009074,471.8,4.28,rebalance
2025-11-14,XLV,sell,1.902251,151.83,288.82,rebalance
2025-11-14,XLE,sell,2.973174,46.01,136.8,rebalance
2025-11-14,BIL,sell,1.323112,91.6,121.2,rebalance
2025-11-14,SPY,buy,0.368599,671.93,247.67,rebalance
2025-11-14,QQQ,buy,0.467036,608.86,284.36,rebalance
2025-11-14,GLD,buy,0.030443,375.96,11.45,rebalance
2025-11-14,TLT,buy,0.091954,88.87,8.17,rebalance
2025-11-17,SPY,sell,1.091444,665.67,726.54,rebalance
2025-11-17,QQQ,sell,8.491876,603.66,5126.21,rebalance
2025-11-17,GLD,sell,10.232417,371.65,3802.88,rebalance
2025-11-17,TLT,sell,44.893492,89.09,3999.56,rebalance
2025-11-17,DIA,buy,2.368219,466.32,1104.35,rebalance
2025-11-17,XLV,buy,28.40218,151.7,4308.61,rebalance
2025-11-17,XLP,buy,86.432804,76.77,6635.45,rebalance
2025-11-17,XLE,buy,18.947725,45.17,855.87,rebalance
2025-11-17,BIL,buy,9.286628,91.6,850.66,rebalance
2025-11-21,XLV,sell,1.683071,154.61,260.22,rebalance
2025-11-21,XLP,sell,1.439405,77.9,112.13,rebalance
2025-11-21,GLD,sell,0.236883,374.27,88.66,rebalance
2025-11-21,BIL,sell,0.636972,91.66,58.38,rebalance
2025-11-21,SPY,buy,0.335048,659.03,220.81,rebalance
2025-11-21,QQQ,buy,0.3754,590.07,221.51,rebalance
2025-11-21,DIA,buy,0.055226,462.57,25.55,rebalance
2025-11-21,XLE,buy,1.152482,44.71,51.53,rebalance
2025-11-24,SPY,sell,8.019076,668.73,5362.6,rebalance
2025-11-24,QQQ,sell,2.944617,605.16,1781.96,rebalance
2025-11-24,DIA,sell,0.174628,464.44,81.1,rebalance
2025-11-24,XLP,sell,18.997094,77,1462.78,rebalance
2025-11-24,GLD,sell,0.976284,380.2,371.18,rebalance
2025-11-24,XLE,sell,20.763013,44.59,925.82,rebalance
2025-11-24,XLV,buy,11.231239,155.26,1743.76,rebalance
2025-11-24,TLT,buy,60.885251,90.01,5480.28,rebalance
2025-11-24,BIL,buy,30.126597,91.66,2761.4,rebalance
2025-11-28,SPY,sell,0.229815,683.39,157.05,rebalance
2025-11-28,QQQ,sell,0.122465,619.25,75.84,rebalance
2025-11-28,DIA,sell,0.109943,477.18,52.46,rebalance
2025-11-28,XLV,sell,0.018333,157.65,2.89,rebalance
2025-11-28,XLP,sell,0.998344,79.37,79.24,rebalance
2025-11-28,GLD,sell,0.121065,387.88,46.96,rebalance
2025-11-28,XLE,buy,0.100973,45.23,4.57,rebalance
2025-11-28,TLT,buy,0.787589,90.21,71.05,rebalance
2025-11-28,BIL,buy,3.694114,91.72,338.82,rebalance
2025-12-01,QQQ,sell,0.343452,617.17,211.97,rebalance
2025-12-01,DIA,sell,0.179497,473.32,84.96,rebalance
2025-12-01,XLV,sell,16.551419,155.29,2570.27,rebalance
2025-12-01,GLD,sell,0.743419,389.75,289.75,rebalance
2025-12-01,XLE,sell,3.908506,45.66,178.46,rebalance
2025-12-01,TLT,sell,0.41412,88.77,36.76,rebalance
2025-12-01,BIL,sell,51.049081,91.45,4668.44,rebalance
2025-12-01,SPY,buy,5.62859,680.27,3828.96,rebalance
2025-12-01,XLP,buy,9.935186,79.29,787.76,rebalance
2025-12-01,SH,buy,91.021185,36.51,3323.18,rebalance
2025-12-05,SPY,sell,0.278177,685.69,190.74,rebalance
2025-12-05,QQQ,sell,0.184572,625.48,115.45,rebalance
2025-12-05,DIA,sell,0.116064,480.03,55.71,rebalance
2025-12-05,XLE,sell,0.555463,45.92,25.51,rebalance
2025-12-05,XLV,buy,1.04513,153.26,160.18,rebalance
2025-12-05,XLP,buy,0.868698,78.46,68.16,rebalance
2025-12-05,GLD,buy,0.227668,386.44,87.98,rebalance
2025-12-05,TLT,buy,0.478773,88.17,42.21,rebalance
2025-12-05,SH,buy,0.668975,36.28,24.27,rebalance
2025-12-05,BIL,buy,0.04929,91.52,4.51,rebalance
2025-12-08,QQQ,sell,1.4768,624.28,921.94,rebalance
2025-12-08,DIA,sell,1.049719,478.15,501.92,rebalance
2025-12-08,XLV,sell,0.720166,151.43,109.05,rebalance
2025-12-08,TLT,sell,9.177688,87.88,806.54,rebalance
2025-12-08,SH,sell,14.428872,36.39,525.07,rebalance
2025-12-08,BIL,sell,23.864647,91.53,2184.33,rebalance
2025-12-08,SPY,buy,3.489852,683.63,2385.77,rebalance
2025-12-08,XLP,buy,19.693515,77.81,1532.35,rebalance
2025-12-08,GLD,buy,0.23058,385.42,88.87,rebalance
2025-12-08,XLE,buy,25.157657,45.42,1142.66,rebalance
2025-12-12,DIA,sell,0.083201,485.4,40.39,rebalance
2025-12-12,XLV,sell,0.94596,154.06,145.73,rebalance
2025-12-12,XLP,sell,1.534284,79.42,121.85,rebalance
2025-12-12,GLD,sell,0.512569,395.44,202.69,rebalance
2025-12-12,SPY,buy,0.306384,681.76,208.88,rebalance
2025-12-12,QQQ,buy,0.290221,613.62,178.09,rebalance
2025-12-12,XLE,buy,0.331419,45.51,15.08,rebalance
2025-12-12,TLT,buy,0.551966,87.34,48.21,rebalance
2025-12-12,SH,buy,0.034264,36.53,1.25,rebalance
2025-12-12,BIL,buy,0.645787,91.6,59.15,rebalance
2025-12-15,QQQ,sell,0.420211,610.54,256.56,rebalance
2025-12-15,SH,sell,77.295552,36.58,2827.47,rebalance
2025-12-15,SPY,buy,2.162751,680.73,1472.25,rebalance
2025-12-15,DIA,buy,0.63128,485.17,306.28,rebalance
2025-12-15,XLV,buy,4.902683,156.1,765.31,rebalance
2025-12-15,XLP,buy,6.782909,79.64,540.19,rebalance
2025-12-19,SPY,sell,0.106202,680.59,72.28,rebalance
2025-12-19,QQQ,sell,0.172394,617.05,106.38,rebalance
2025-12-19,DIA,buy,0.048389,481.15,23.28,rebalance
2025-12-19,XLV,buy,0.384021,154.94,59.5,rebalance
2025-12-19,XLP,buy,1.216973,78.78,95.87,rebalance
2025-12-19,XLE,buy,1e-06,44.13,0.0,rebalance
2025-12-22,SPY,sell,1.57899,684.83,1081.34,rebalance
2025-12-22,DIA,sell,0.007044,483.46,3.41,rebalance
2025-12-22,XLV,sell,12.884941,155.3,2001.03,rebalance
2025-12-22,XLE,sell,29.760827,44.21,1315.73,rebalance
2025-12-22,TLT,sell,53.111771,87.36,4639.84,rebalance
2025-12-22,QQQ,buy,0.005909,619.21,3.66,rebalance
2025-12-22,XLP,buy,1.826117,77.88,142.22,rebalance
2025-12-22,GLD,buy,1.033564,408.23,421.93,rebalance
2025-12-22,BIL,buy,92.809839,91.3,8473.54,rebalance
2025-12-26,SPY,sell,0.071191,690.31,49.14,rebalance
2025-12-26,QQQ,sell,0.015254,623.89,9.52,rebalance
2025-12-26,DIA,sell,0.008329,487.03,4.06,rebalance
2025-12-26,GLD,sell,0.350708,416.74,146.15,rebalance
2025-12-26,XLV,buy,0.100441,156.05,15.67,rebalance
2025-12-26,XLP,buy,0.194926,78.23,15.25,rebalance
2025-12-26,XLE,buy,0.755131,44.2,33.38,rebalance
2025-12-26,BIL,buy,1.582435,91.36,144.57,rebalance
2025-12-29,QQQ,sell,0.010436,620.87,6.48,rebalance
2025-12-29,DIA,sell,0.005263,484.59,2.55,rebalance
2025-12-29,XLV,sell,0.267509,155.81,41.68,rebalance
2025-12-29,XLP,sell,13.568426,78.28,1062.14,rebalance
2025-12-29,XLE,sell,1.725004,44.62,76.97,rebalance
2025-12-29,BIL,sell,1.568493,91.36,143.3,rebalance
2025-12-29,SPY,buy,1.377962,687.85,947.83,rebalance
2025-12-29,GLD,buy,0.966591,398.6,385.28,rebalance
2026-01-02,DIA,sell,0.005754,483.63,2.78,rebalance
2026-01-02,XLV,sell,0.04835,155.51,7.52,rebalance
2026-01-02,GLD,sell,0.047376,398.28,18.87,rebalance
2026-01-02,XLE,sell,2.851947,45.65,130.19,rebalance
2026-01-02,BIL,sell,0.919564,91.42,84.07,rebalance
2026-01-02,SPY,buy,0.1897,683.17,129.6,rebalance
2026-01-02,QQQ,buy,0.129465,613.12,79.38,rebalance
2026-01-02,XLP,buy,0.443474,77.69,34.45,rebalance
2026-01-05,SPY,sell,2.955105,687.72,2032.28,rebalance
2026-01-05,QQQ,sell,1.660143,617.99,1025.95,rebalance
2026-01-05,DIA,sell,0.050293,489.77,24.63,rebalance
2026-01-05,XLE,sell,2.212292,46.89,103.73,rebalance
2026-01-05,XLV,buy,7.171984,155.04,1111.94,rebalance
2026-01-05,XLP,buy,1.000642,77.35,77.4,rebalance
2026-01-05,GLD,buy,4.479787,408.76,1831.16,rebalance
2026-01-05,BIL,buy,1.8169,91.42,166.1,rebalance
2026-01-09,SPY,sell,0.010076,694.07,6.99,rebalance
2026-01-09,QQQ,sell,0.056888,626.65,35.65,rebalance
2026-01-09,DIA,sell,0.014136,495.02,7.0,rebalance
2026-01-09,XLV,sell,0.400702,157.31,63.03,rebalance
2026-01-09,XLP,sell,1.395742,79.25,110.61,rebalance
2026-01-09,GLD,sell,0.146153,414.47,60.58,rebalance
2026-01-09,XLE,buy,1.488466,46.67,69.47,rebalance
2026-01-09,BIL,buy,2.3439,91.47,214.4,rebalance
2026-01-12,XLP,sell,0.747444,80.18,59.93,rebalance
2026-01-12,GLD,sell,0.446712,422.23,188.62,rebalance
2026-01-12,BIL,sell,21.552288,91.48,1971.6,rebalance
2026-01-12,SPY,buy,1.555365,695.16,1081.23,rebalance
2026-01-12,QQQ,buy,1.667595,627.17,1045.87,rebalance
2026-01-12,DIA,buy,0.0132,495.9,6.55,rebalance
2026-01-12,XLV,buy,0.209778,157.38,33.01,rebalance
2026-01-12,XLE,buy,1.154383,46.34,53.49,rebalance
2026-01-16,XLP,sell,2.160023,82.11,177.36,rebalance
2026-01-16,XLE,sell,3.201772,47.69,152.69,rebalance
2026-01-16,BIL,sell,0.320475,91.54,29.34,rebalance
2026-01-16,SPY,buy,0.198321,691.66,137.17,rebalance
2026-01-16,QQQ,buy,0.11695,621.26,72.66,rebalance
2026-01-16,DIA,buy,0.036785,493.42,18.15,rebalance
2026-01-16,XLV,buy,0.713857,155.74,111.18,rebalance
2026-01-16,GLD,buy,0.048032,421.29,20.24,rebalance
2026-01-20,SPY,sell,2.278929,677.58,1544.16,rebalance
2026-01-20,QQQ,sell,1.450149,608.06,881.78,rebalance
2026-01-20,GLD,sell,5.860146,437.23,2562.23,rebalance
2026-01-20,XLE,sell,43.212363,47.6,2056.91,rebalance
2026-01-20,DIA,buy,2.221505,484.88,1077.16,rebalance
2026-01-20,XLV,buy,6.443968,155.4,1001.39,rebalance
2026-01-20,XLP,buy,11.797018,82.36,971.6,rebalance
2026-01-20,BIL,buy,43.641206,91.54,3994.92,rebalance
2026-01-23,SPY,sell,0.084245,689.23,58.06,rebalance
2026-01-23,QQQ,sell,0.102828,622.72,64.03,rebalance
2026-01-23,GLD,sell,0.722174,458,330.76,rebalance
2026-01-23,XLE,sell,1.137641,49.19,55.96,rebalance
2026-01-23,DIA,buy,0.028009,490.93,13.75,rebalance
2026-01-23,XLV,buy,0.13883,157.48,21.86,rebalance
2026-01-23,XLP,buy,0.837709,82.91,69.45,rebalance
2026-01-23,BIL,buy,4.408185,91.59,403.75,rebalance
2026-01-26,SPY,sell,0.050418,692.73,34.93,rebalance
2026-01-26,DIA,sell,2.136045,494.06,1055.33,rebalance
2026-01-26,XLV,sell,13.190844,158.1,2085.47,rebalance
2026-01-26,GLD,sell,2.483329,464.7,1154.0,rebalance
2026-01-26,QQQ,buy,1.660472,625.46,1038.56,rebalance
2026-01-26,XLP,buy,0.546368,82.78,45.23,rebalance
2026-01-26,XLE,buy,0.206758,49.22,10.18,rebalance
2026-01-26,BIL,buy,35.328876,91.59,3235.77,rebalance
2026-01-30,SPY,sell,0.169108,691.97,117.02,rebalance
2026-01-30,XLP,sell,1.390485,83.51,116.12,rebalance
2026-01-30,XLE,sell,2.590273,51.05,132.23,rebalance
2026-01-30,BIL,sell,1.965841,91.65,180.17,rebalance
2026-01-30,QQQ,buy,0.008492,621.87,5.28,rebalance
2026-01-30,DIA,buy,0.043265,489.03,21.16,rebalance
2026-01-30,XLV,buy,1.087621,154.74,168.3,rebalance
2026-01-30,GLD,buy,0.78841,444.95,350.8,rebalance
2026-02-02,GLD,sell,3.999928,427.13,1708.49,rebalance
2026-02-02,SPY,sell,3.23394,695.41,2248.91,rebalance
2026-02-02,QQQ,sell,0.105959,626.14,66.35,rebalance
2026-02-02,DIA,sell,0.095343,494.03,47.1,rebalance
2026-02-02,XLV,sell,0.484244,155.69,75.39,rebalance
2026-02-02,XLE,buy,42.540606,50.05,2129.16,rebalance
2026-02-02,XLP,buy,23.242613,84.5,1964.0,rebalance
2026-02-02,BIL,buy,0.580856,91.39,53.08,rebalance
2026-02-06,GLD,sell,0.896077,455.46,408.13,rebalance
2026-02-06,XLE,sell,5.242049,53.25,279.14,rebalance
2026-02-06,DIA,sell,0.034137,501.03,17.1,rebalance
2026-02-06,XLV,sell,0.192661,157.71,30.38,rebalance
2026-02-06,XLP,sell,3.612552,87.94,317.69,rebalance
2026-02-06,SPY,buy,0.660201,690.62,455.95,rebalance
2026-02-06,QQQ,buy,0.494472,609.65,301.45,rebalance
2026-02-06,BIL,buy,3.226593,91.44,295.04,rebalance
2026-02-09,QQQ,sell,3.484423,614.32,2140.55,rebalance
2026-02-09,SPY,sell,3.111607,693.95,2159.3,rebalance
2026-02-09,GLD,sell,0.358143,467.03,167.26,rebalance
2026-02-09,XLE,sell,0.464151,53.64,24.9,rebalance
2026-02-09,BIL,sell,22.062555,91.44,2017.4,rebalance
2026-02-09,DIA,buy,8.38943,501.22,4204.95,rebalance
2026-02-09,XLV,buy,7.471847,156.32,1168.0,rebalance
2026-02-09,XLP,buy,12.998536,87.43,1136.46,rebalance
2026-02-13,XLV,sell,0.822009,157.67,129.61,rebalance
2026-02-13,XLP,sell,3.401448,89.51,304.46,rebalance
2026-02-13,XLE,sell,1.527858,54.35,83.04,rebalance
2026-02-13,BIL,sell,1.079028,91.51,98.74,rebalance
2026-02-13,QQQ,buy,0.183906,601.92,110.7,rebalance
2026-02-13,DIA,buy,0.156803,495.28,77.66,rebalance
2026-02-13,SPY,buy,0.553315,681.75,377.22,rebalance
2026-02-13,GLD,buy,0.108663,462.62,50.27,rebalance
