date,total_value,cash,positions_value,scenario,trades_today
2025-11-03,100000.0,0.0,100000.0,base,7
2025-11-04,99170.19,0.0,99170.19,base,0
2025-11-05,99500.77,0.0,99500.77,base,0
2025-11-06,98986.23,0.0,98986.23,base,0
2025-11-07,99071.93,0.0,99071.93,base,0
2025-11-10,100292.43,100.29,100192.14,base,8
2025-11-11,100683.18,100.29,100582.88,base,0
2025-11-12,100974.34,100.29,100874.05,base,0
2025-11-13,99963.24,100.29,99862.94,base,0
2025-11-14,99745.62,99.09,99646.53,bear,8
2025-11-17,99037.24,0.0,99037.23,base,9
2025-11-18,98845.41,0.0,98845.41,base,0
2025-11-19,98884.87,11861.41,87023.46,bear,8
2025-11-20,98226.5,11861.41,86365.09,bear,0
2025-11-21,99058.82,11814.38,87244.44,bear,5
2025-11-24,99637.26,0.0,99637.26,base,9
2025-11-25,100343.49,0.0,100343.49,base,0
2025-11-26,100785.73,0.0,100785.73,base,9
2025-11-28,101151.93,0.0,101151.93,base,0
2025-12-01,100703.9,100.7,100603.2,base,10
2025-12-02,100610.63,100.7,100509.93,base,0
2025-12-03,101001.13,10064.61,90936.51,bull,10
2025-12-04,100907.71,10064.61,90843.1,bull,0
2025-12-05,101008.68,10104.51,90904.17,bull,6
2025-12-08,100671.32,0.0,100671.32,base,10
2025-12-09,100650.37,0.0,100650.37,base,0
2025-12-10,101213.5,0.0,101213.5,base,0
2025-12-11,101528.06,0.0,101528.06,base,0
2025-12-12,101103.45,0.0,101103.45,base,0
2025-12-15,101156.81,0.0,101156.81,base,6
2025-12-16,100697.2,0.0,100697.2,base,0
2025-12-17,100401.06,0.0,100401.06,base,9
2025-12-18,100564.88,0.0,100564.88,base,0
2025-12-19,100913.59,0.0,100913.59,bull,9
2025-12-22,101308.63,0.0,101308.63,base,9
2025-12-23,101600.71,0.0,101600.71,base,0
2025-12-24,101822.54,0.0,101822.54,base,0
2025-12-26,101955.15,0.0,101955.15,base,8
2025-12-29,101380.17,0.0,101380.17,base,8
2025-12-30,101343.14,0.0,101343.14,base,0
2025-12-31,100827.31,0.0,100827.31,base,0
2026-01-02,101109.58,0.0,101109.58,base,0
2026-01-05,101778.48,0.0,101778.48,base,8
2026-01-06,102287.33,0.0,102287.33,base,0
2026-01-07,102024.12,0.0,102024.12,base,8
2026-01-08,102286.51,0.0,102286.51,base,0
2026-01-09,102699.08,0.0,102699.08,base,0
2026-01-12,103048.73,0.0,103048.73,base,8
2026-01-13,103037.75,0.0,103037.75,base,0
2026-01-14,103223.28,0.0,103223.28,base,0
2026-01-15,103181.61,0.0,103181.61,base,0
2026-01-16,102988.42,0.0,102988.42,base,0
2026-01-20,102572.6,0.0,102572.6,base,8
2026-01-21,103525.05,0.0,103525.05,base,0
2026-01-22,103971.05,0.0,103971.05,bull,8
2026-01-23,104172.05,0.0,104172.05,bull,0
2026-01-26,104625.45,0.0,104625.45,base,8
2026-01-27,104910.34,0.0,104910.34,base,0
2026-01-28,105177.29,0.0,105177.29,base,0
2026-01-29,105080.59,0.0,105080.59,base,0
2026-01-30,104091.19,0.0,104091.19,base,0
2026-02-02,103985.16,0.0,103985.16,base,8
2026-02-03,104307.8,0.0,104307.8,base,0
2026-02-04,104444.01,0.0,104444.01,base,0
2026-02-05,103570.6,103.96,103466.64,bull,8
2026-02-06,105116.23,103.96,105012.27,bull,0
2026-02-09,105463.93,0.0,105463.93,base,8
2026-02-10,105192.79,0.0,105192.79,base,0
2026-02-11,105655.15,0.0,105655.15,base,0
2026-02-12,104758.59,0.0,104758.59,base,0
2026-02-13,105185.0,104.93,105080.07,bear,8
