date,total_value,cash,positions_value,scenario,trades_today
2025-11-03,100000.0,0.0,100000.0,base,7
2025-11-04,99170.19,0.0,99170.19,base,0
2025-11-05,99500.77,0.0,99500.77,base,0
2025-11-06,98986.23,0.0,98986.23,base,0
2025-11-07,99071.93,0.0,99071.93,base,7
2025-11-10,100299.44,100.3,100199.14,base,8
2025-11-11,100690.21,100.3,100589.91,base,0
2025-11-12,100981.39,100.3,100881.09,base,0
2025-11-13,99970.22,100.3,99869.92,base,0
2025-11-14,99742.11,99.74,99642.37,base,8
2025-11-17,99036.51,0.0,99036.51,base,9
2025-11-18,98844.69,0.0,98844.69,base,0
2025-11-19,98884.15,11861.33,87022.82,bear,8
2025-11-20,98225.78,11861.33,86364.46,bear,0
2025-11-21,99057.4,0.0,99057.4,base,8
2025-11-24,99880.16,0.0,99880.16,base,9
2025-11-25,100588.11,0.0,100588.11,base,0
2025-11-26,101031.42,0.0,101031.42,base,9
2025-11-28,101398.52,0.0,101398.52,base,9
2025-12-01,100945.28,100.95,100844.34,base,10
2025-12-02,100851.79,100.95,100750.84,base,0
2025-12-03,101243.22,10088.74,91154.48,bull,10
2025-12-04,101149.58,10088.74,91060.84,bull,0
2025-12-05,101251.36,101.25,101150.11,base,10
2025-12-08,100858.1,0.0,100858.1,base,10
2025-12-09,100837.1,0.0,100837.1,base,0
2025-12-10,101401.28,0.0,101401.28,base,0
2025-12-11,101716.42,0.0,101716.42,base,0
2025-12-12,101291.02,0.0,101291.02,base,10
2025-12-15,101340.76,0.0,101340.76,base,6
2025-12-16,100879.71,0.0,100879.71,base,0
2025-12-17,100582.0,0.0,100582.0,base,9
2025-12-18,100746.11,0.0,100746.11,base,0
2025-12-19,101070.55,0.0,101070.55,base,6
2025-12-22,101432.01,0.61,101431.4,base,8
2025-12-23,101724.45,0.61,101723.83,base,0
2025-12-24,101946.55,0.61,101945.93,base,0
2025-12-26,102079.21,0.0,102079.21,base,8
2025-12-29,101503.78,0.0,101503.78,base,8
2025-12-30,101466.71,0.0,101466.71,base,0
2025-12-31,100950.25,0.0,100950.25,base,0
2026-01-02,101232.86,0.0,101232.86,base,8
2026-01-05,101899.86,0.0,101899.86,base,8
2026-01-06,102409.32,0.0,102409.32,base,0
2026-01-07,102145.8,0.0,102145.8,base,8
2026-01-08,102408.5,0.0,102408.5,base,0
2026-01-09,102821.57,0.0,102821.57,base,8
2026-01-12,103168.64,0.0,103168.64,base,8
2026-01-13,103157.65,0.0,103157.65,base,0
2026-01-14,103343.4,0.0,103343.4,base,0
2026-01-15,103301.67,0.0,103301.67,base,0
2026-01-16,103108.26,0.0,103108.26,base,8
2026-01-20,102687.56,0.0,102687.56,base,8
2026-01-21,103641.08,0.0,103641.08,base,0
2026-01-22,104087.58,0.0,104087.58,bull,8
2026-01-23,104288.8,0.0,104288.8,base,8
2026-01-26,104693.11,0.0,104693.11,base,8
2026-01-27,104978.19,0.0,104978.19,base,0
2026-01-28,105245.3,0.0,105245.3,base,0
2026-01-29,105148.54,0.0,105148.54,base,0
2026-01-30,104158.5,0.0,104158.5,base,8
2026-02-02,104040.74,0.0,104040.73,base,8
2026-02-03,104363.55,0.0,104363.55,base,0
2026-02-04,104499.83,0.0,104499.83,base,0
2026-02-05,103625.95,104.01,103521.93,bull,8
2026-02-06,105172.41,0.0,105172.41,base,8
2026-02-09,105442.14,0.0,105442.14,base,8
2026-02-10,105171.06,0.0,105171.06,base,0
2026-02-11,105633.33,0.0,105633.33,base,0
2026-02-12,104736.95,0.0,104736.95,base,0
2026-02-13,105168.37,0.0,105168.37,base,8
