date,symbol,side,shares,price,value,reason
2025-11-03,SPY,buy,41.12155,683.34,28100.0,transition
2025-11-03,QQQ,buy,21.516264,632.08,13600.0,transition
2025-11-03,DIA,buy,6.336199,473.47,3000.0,transition
2025-11-03,XLV,buy,58.15161,144.45,8400.0,transition
2025-11-03,GLD,buy,40.132328,368.78,14800.0,transition
2025-11-03,TLT,buy,71.317138,89.74,6400.0,transition
2025-11-03,BIL,buy,280.966435,91.47,25700.0,transition
2025-11-07,DIA,sell,0.010575,469.86,4.97,week_end_rebalance
2025-11-07,XLV,sell,1.205928,146.14,176.23,week_end_rebalance
2025-11-07,GLD,sell,0.321719,368.31,118.49,week_end_rebalance
2025-11-07,TLT,sell,0.527774,89.57,47.27,week_end_rebalance
2025-11-07,BIL,sell,2.790041,91.53,255.37,week_end_rebalance
2025-11-07,SPY,buy,0.369443,670.97,247.89,week_end_rebalance
2025-11-07,QQQ,buy,0.581322,609.74,354.46,week_end_rebalance
2025-11-10,XLV,sell,3.145736,147.28,463.3,transition
2025-11-10,GLD,sell,3.760278,378.38,1422.81,transition
2025-11-10,TLT,sell,25.987826,89.55,2327.21,transition
2025-11-10,BIL,sell,61.253514,91.55,5607.76,transition
2025-11-10,SPY,buy,1.782129,681.44,1214.41,transition
2025-11-10,QQQ,buy,3.973864,623.23,2476.63,transition
2025-11-10,DIA,buy,0.659901,473.82,312.67,transition
2025-11-10,XLE,buy,126.539802,45.18,5717.07,transition
2025-11-14,DIA,sell,0.009074,471.8,4.28,week_end_rebalance
2025-11-14,XLV,sell,1.902251,151.83,288.82,week_end_rebalance
2025-11-14,XLE,sell,2.973174,46.01,136.8,week_end_rebalance
2025-11-14,BIL,sell,1.323112,91.6,121.2,week_end_rebalance
2025-11-14,SPY,buy,0.368599,671.93,247.67,week_end_rebalance
2025-11-14,QQQ,buy,0.467036,608.86,284.36,week_end_rebalance
2025-11-14,GLD,buy,0.030443,375.96,11.45,week_end_rebalance
2025-11-14,TLT,buy,0.091954,88.87,8.17,week_end_rebalance
2025-11-17,SPY,sell,1.091444,665.67,726.54,transition
2025-11-17,QQQ,sell,8.491876,603.66,5126.21,transition
2025-11-17,GLD,sell,10.232417,371.65,3802.88,transition
2025-11-17,TLT,sell,44.893492,89.09,3999.56,transition
2025-11-17,DIA,buy,2.368219,466.32,1104.35,transition
2025-11-17,XLV,buy,28.40218,151.7,4308.61,transition
2025-11-17,XLP,buy,86.432804,76.77,6635.45,transition
2025-11-17,XLE,buy,18.947725,45.17,855.87,transition
2025-11-17,BIL,buy,9.286628,91.6,850.66,transition
2025-11-19,SPY,sell,5.602181,660.78,3701.81,trigger:vix_stress
2025-11-19,QQQ,sell,2.319448,597.07,1384.87,trigger:vix_stress
2025-11-19,DIA,sell,1.20598,461.51,556.57,trigger:vix_stress
2025-11-19,GLD,sell,25.848357,377.78,9764.99,trigger:vix_stress
2025-11-19,XLE,sell,142.514353,44.73,6374.67,trigger:vix_stress
2025-11-19,XLV,buy,37.032455,152.48,5646.71,trigger:vix_stress
2025-11-19,XLP,buy,40.751939,76.94,3135.45,trigger:vix_stress
2025-11-19,BIL,buy,12.435056,91.63,1139.42,trigger:vix_stress
2025-11-21,XLV,sell,38.527208,154.61,5956.69,week_end_rebalance
2025-11-21,XLP,sell,41.987752,77.9,3270.85,week_end_rebalance
2025-11-21,BIL,sell,12.534864,91.66,1148.95,week_end_rebalance
2025-11-21,SPY,buy,6.039956,659.03,3980.51,week_end_rebalance
2025-11-21,QQQ,buy,2.738975,590.07,1616.19,week_end_rebalance
2025-11-21,DIA,buy,1.283723,462.57,593.81,week_end_rebalance
2025-11-21,GLD,buy,25.672823,374.27,9608.57,week_end_rebalance
2025-11-21,XLE,buy,144.010977,44.71,6438.73,week_end_rebalance
2025-11-24,SPY,sell,8.038285,668.73,5375.44,transition
2025-11-24,QQQ,sell,2.95167,605.16,1786.23,transition
2025-11-24,DIA,sell,0.175047,464.44,81.3,transition
2025-11-24,XLP,sell,19.042599,77,1466.28,transition
2025-11-24,GLD,sell,0.978622,380.2,372.07,transition
2025-11-24,XLE,sell,20.812753,44.59,928.04,transition
2025-11-24,XLV,buy,11.258142,155.26,1747.94,transition
2025-11-24,TLT,buy,61.031094,90.01,5493.41,transition
2025-11-24,BIL,buy,30.198764,91.66,2768.02,transition
2025-11-26,SPY,sell,0.163498,677.63,110.79,trigger:vix_caution_recover
2025-11-26,QQQ,sell,0.05483,612.51,33.58,trigger:vix_caution_recover
2025-11-26,DIA,sell,0.074034,472.2,34.96,trigger:vix_caution_recover
2025-11-26,XLV,sell,1.040178,158.42,164.78,trigger:vix_caution_recover
2025-11-26,XLP,sell,0.339186,78.06,26.48,trigger:vix_caution_recover
2025-11-26,GLD,buy,0.155382,381.06,59.21,trigger:vix_caution_recover
2025-11-26,XLE,buy,1.869021,44.3,82.8,trigger:vix_caution_recover
2025-11-26,TLT,buy,0.427352,90.15,38.53,trigger:vix_caution_recover
2025-11-26,BIL,buy,2.072656,91.7,190.06,trigger:vix_caution_recover
2025-11-28,SPY,sell,0.066339,683.39,45.34,week_end_rebalance
2025-11-28,QQQ,sell,0.067694,619.25,41.92,week_end_rebalance
2025-11-28,DIA,sell,0.036033,477.18,17.19,week_end_rebalance
